,Number_of_Children,Number_of_Children_Spouse,Sex,Age,Age_at_Marriage,Age_of_Spouse,Age_at_Marriage_Spouse,Age_Difference,Number_of_Roles,Spouse_is_Celebrity,Distance,Divorced
394,2.0,,0,44.0,31.0,,,,2,0,,0
395,,,0,64.0,51.0,,,,2,0,,0
396,1.0,1.0,0,47.0,25.0,49.0,27.0,2.0,1,0,926.7066160959844,1
397,1.0,,0,37.0,26.0,,,,2,0,,1
398,2.0,,0,34.0,24.0,,,,1,0,,0
399,,,0,36.0,29.0,,,,2,0,,1
400,3.0,,0,39.0,25.0,,,,2,0,,0
401,,,0,32.0,27.0,,,,1,0,,0
402,,,0,40.0,28.0,,,,1,0,,0
403,1.0,,0,33.0,25.0,,,,1,0,,0
404,,,0,40.0,25.0,,,,1,0,,1
405,3.0,,0,45.0,33.0,,,,2,0,,1
406,3.0,,0,41.0,26.0,,,,1,0,,1
407,3.0,,0,73.0,22.0,,,,3,0,,1
408,1.0,,0,39.0,25.0,,,,1,0,,0
409,,,0,32.0,24.0,,,,2,0,,1
410,1.0,,0,52.0,22.0,,,,2,0,,1
411,1.0,,0,39.0,30.0,,,,1,0,,0
412,,,0,79.0,21.0,92.0,31.0,10.0,3,0,1024.259550067507,1
413,5.0,,0,60.0,20.0,,,,2,0,,1
414,1.0,,0,30.0,25.0,,,,1,0,,0
415,1.0,,0,30.0,29.0,34.0,33.0,4.0,1,1,8665.964837890522,0
416,1.0,,0,91.0,25.0,,,,2,0,,1
417,,,0,34.0,25.0,52.0,43.0,18.0,1,0,8456.384443740597,0
418,,,0,,,,,,1,0,,0
419,2.0,,0,41.0,24.0,,,,1,0,,0
420,1.0,,0,38.0,25.0,,,,2,0,,1
421,2.0,,0,41.0,26.0,,,,1,0,,0
422,3.0,5.0,0,59.0,30.0,75.0,46.0,16.0,1,0,3255.537588786154,1
423,,,0,68.0,44.0,,,,2,0,,0
424,,2.0,0,59.0,31.0,55.0,27.0,4.0,2,0,5854.83637062395,1
425,2.0,,0,38.0,25.0,,,,2,0,,0
426,2.0,2.0,0,52.0,40.0,55.0,43.0,3.0,1,1,25.64861649343195,0
427,1.0,,0,45.0,27.0,,,,1,0,,1
428,1.0,,0,55.0,20.0,,,,1,0,,1
429,2.0,1.0,0,40.0,27.0,52.0,39.0,12.0,1,0,400.5323576655925,1
430,1.0,,0,42.0,26.0,,,,1,0,,1
431,,,0,41.0,37.0,,,,2,0,,1
