Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Mimi Hafida,1965-08-26,"Batna, Algeria",,,,,,,,,,,,,,,,,,F,musician
Djanet Lachmet,1948-01-01,Algeria,,,,,,,,,,,,,,,,,,F,musician
Aïcha Lemsine,,,,,,,,,,,,,,,,,,,,F,musician
Samira Negrouche,,,,,,,,,,,,,,,,,,,,F,musician
Nabila Ramdani,,France,,,,,,,,,,,,,,,,,,F,musician
Sarah Rivens,,,,,,,,,,,,,,,,,,,,F,musician
Patricia Aakhus,,,,,,,,,,,,,,,,,,,,F,musician
Janet Elizabeth Aalfs,1956-08-14,"Elmira, New York, U.S.",,,,,,,,,,,,,,,,,,F,musician
Kathryn Aalto,,,,,,,,,,,,,,,,,,,,F,musician
Rachel Aaron,,,,,,,,,,,,,,,,,,,,F,musician
Carolyn Abbate,1956-11-20,"New York, U.S.",,,,,,,,,,,,,,,,,,F,musician
Kathryn McLaughlin,1919-09-22,"Brooklyn, New York City, U.S.",2014-01-18,,,,,,,,,,,,,,,,,F,musician
Patience Shorrock Abbe,1924-07-22,"Paris, France",2012-03-17,"Redding, California, U.S.",Brendan O'Mahoney​ ​,1949-01-01,1954-01-01,2.0,2.0,2,0.0,,,,,,,,,F,musician
Marilyn Lorraine Abbey,1948-09-18,"Peekskill, New York, U.S.",,,Robert Asprin,,,1.0,,,,,,,,,,,,F,musician
Laura Abbot,,,,,,,,,,,,,,,,,,,,F,musician
Chris Abbott,,,,,,,,,,,,,,,,,,,,F,musician
Hailey Abbott,,,,,,,,,,,,,,,,,,,,F,musician
Megan Abbott,,,,,,,,,,,,,,,,,,,,F,musician
Shirley Abbott ,,,,,,,,,,,,,,,,,,,,F,musician
Sidney Afton Abbott,1937-07-11,,2015-04-15,"Southold, New York, U.S.",,,,,,,,,,,,,,,,F,musician
Mona Kosar Abdi,1991-05-13,"San Diego, California, U.S.",,,,,,,,,,,,,,,,,,F,musician
Saleemah Abdul-Ghafur,,,,,,,,,,,,,,,,,,,,F,musician
Chelsea Abdullah,,,,,,,,,,,,,,,,,,,,F,musician
Shaila Abdullah,,,,,,,,,,,,,,,,,,,,F,musician
Shana Abé,,,,,,,,,,,,,,,,,,,,F,musician
Colet Abedi,,,,,,,,,,,,,,,,,,,,F,musician
Ghazaleh Jasmine Abedi,,"Colorado, U.S.",,,,,,,,,,,,,,,,,,F,musician
Jessica Abel,,,,,,,,,,,,,,,,,,,,F,musician
Joan Abelove,,,,,,,,,,,,,,,,,,,,F,musician
Aria Aber,,,,,,,,,,,,,,,,,,,,F,musician
Donzaleigh Abernathy,1957-08-05,"Montgomery, Alabama, U.S.",,,,,,,,,,,,,,,,,,F,musician
Penny Abernathy,,,,,,,,,,,,,,,,,,,,F,musician
Elmaz Abinader,,,,,,,,,,,,,,,,,,,,F,musician
