Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Joy Episalla,,,,,,,,,,,,,,,,,,,,F,director
Barbara Eileen Schwartz,1944-04-04,"Brooklyn, New York City, US",2021-03-04,"Elizaville, New York, US",,,,,,,,,,,,,,,,F,director
Mary Anne Fackelman,,"Toledo, Ohio",,,,,,,,,,,,,,,,,,F,director
Cynthia Farah,,,,,,,,,,,,,,,,,,,,F,director
Jo Feiler,,,,,,,,,,,,,,,,,,,,F,director
Donna Ferrato,,,,,,,,,,,,,,,,,,,,F,director
Rose-Lynn Fisher,,"Minneapolis, MN",,,,,,,,,,,,,,,,,,F,director
Deanne Fitzmaurice,,"Melrose, Massachusetts, USA",,,Kurt Rogers,,,1.0,,,,,,,,,,,,F,director
Lona Foote,,,,,,,,,,,,,,,,,,,,F,director
Martine Fougeron,1954-01-01,,,,,,,,,,,,,,,,,,,F,director
Judith Fox,,,,,,,,,,,,,,,,,,,,F,director
Salomea Cherniavsky,1929-12-30,"Hollywood, California",2006-02-25,"Cambridge, Massachusetts, US",,,,,,,,,,,,,,,,F,director
Mary Lou Foy,,,,,,,,,,,,,,,,,,,,F,director
Judith Ann Francesconi,1957-05-11,"Huntington, New York, U.S.",,,,,,,,,,,,,,,,,,F,director
Alison Frantz,,,,,,,,,,,,,,,,,,,,F,director
Grace Caroline Voss,1905-11-03,"Yonkers, New York",2009-01-16,"Phoenix, Arizona",,,,,,,,,,,,,,,,F,director
Stephanie Freid-Perenchio,,,,,,,,,,,,,,,,,,,,F,director
Adrienne French,1987-01-01,"Akron, OH",,,,,,,,,,,,,,,,,,F,director
Mary Frey,,,,,,,,,,,,,,,,,,,,F,director
Eva Podešvová,1927-05-05,"Prague, Czech Republic",2015-11-25,,Vladimir Fuka ​,1950-01-01,1977-01-01,2.0,1.0,,0.0,,,,,,,,,F,director
Preston Gannaway,,North Carolina,,,,,,,,,,,,,,,,,,F,director
Bette Garber,,,,,,,,,,,,,,,,,,,,F,director
Helen K. Garber,,,,,,,,,,,,,,,,,,,,F,director
Tierney Gearon,1963-01-01,"Atlanta, Georgia, USA",,,,,,,,,,,,,,,,,,F,director
Alice Rose George,1944-10-23,"Silver Creek, Mississippi",2020-12-22,"Los Angeles, California",,,,,,,,,,,,,,,,F,director
Susan Gerbic,1962-01-01,"Salinas, California, U.S.",,,,,,,,,,,,,,,,,,F,director
Emme and Mayme Gerhard,1872-01-01,"St. Louis, Missouri",1946-01-01,"Emme, North Hempstead, New York; Mayme, St. Louis",,,,,,,,,,,,,,,,F,director
Emme and Mayme Gerhard,1872-01-01,"St. Louis, Missouri",1946-01-01,"Emme, North Hempstead, New York; Mayme, St. Louis",,,,,,,,,,,,,,,,F,director
Emme and Mayme Gerhard,1872-01-01,"St. Louis, Missouri",1946-01-01,"Emme, North Hempstead, New York; Mayme, St. Louis",,,,,,,,,,,,,,,,F,director
Paola Gianturco,1939-01-01,"Urbana, Illinois",,,,,,,,,,,,,,,,,,F,director
Cassandra Giraldo,,,,,,,,,,,,,,,,,,,,F,director
Barbara Gluck,,,,,,,,,,,,,,,,,,,,F,director
Lynn Goldsmith,,,,,,,,,,,,,,,,,,,,F,director
Glenna Gordon,1981-05-03,"Brooklyn, New York[1]",,,,,,,,,,,,,,,,,,F,director
Tipper Gore,,,,,,,,,,,,,,,,,,,,F,director
Suzy Gorman,,,,,,,,,,,,,,,,,,,,F,director
Karen Graffeo,,,,,,,,,,,,,,,,,,,,F,director
Bev Grant,1942-03-22,"Portland, OR",,,,,,,,,,,,,,,,,,F,director
Marion Gray,,,,,,,,,,,,,,,,,,,,F,director
