Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Jessa Gamble,1979-04-25,"Oxford, England",,,,,,,,,,,,,,,,,,F,journalist
Kathy Gannon,1954-01-01,"Timmins, Ontario",,,,,,,,,,,,,,,,,,F,journalist
Anne Garber,,,,,,,,,,,,,,,,,,,,F,journalist
Zsuzsi Gartner,,,,,,,,,,,,,,,,,,,,F,journalist
Françoise Gaudet-Smet,,,,,,,,,,,,,,,,,,,,F,journalist
Laure Gaudreault,1889-10-25,"La Malbaie, Quebec, Canada",1975-01-19,"Clermont, Quebec, Canada",,,,,,,,,,,,,,,,F,journalist
Nicole Germain,,,,,,,,,,,,,,,,,,,,F,journalist
Anne Giardini,,,,,,,,,,,,,,,,,,,,F,journalist
Alexandrine Gibb,1891-01-01,"Toronto, Ontario",1958-12-15,,,,,,,,,,,,,,,,,F,journalist
Elsie Gibbons,,,,,,,,,,,,,,,,,,,,F,journalist
Rachel Giese,,,,,,,,,,,,,,,,,,,,F,journalist
Doris Giller,,,,,,,,,,,,,,,,,,,,F,journalist
Carol Goar,,,,,,,,,,,,,,,,,,,,F,journalist
Suzanne Goldenberg,,"Winnipeg, Manitoba, Canada",,,,,,,,,,,,,,,,,,F,journalist
Carol Rose GoldenEagle,1963-01-01,Saskatchewan,,,,,,,,,,,,,,,,,,F,journalist
Sondra Gotlieb,,,,,,,,,,,,,,,,,,,,F,journalist
Gabrielle Gourdeau,,,,,,,,,,,,,,,,,,,,F,journalist
Doris Gregory,,,,,,,,,,,,,,,,,,,,F,journalist
Brit Griffin,,,,,,,,,,,,,,,,,,,,F,journalist
Agnès Gruda,,,,,,,,,,,,,,,,,,,,F,journalist
Germaine Guèvremont,,,,,,,,,,,,,,,,,,,,F,journalist
Sandra Gwyn,1935-05-17,"St. John's, Newfoundland",2000-05-26,,Richard Gwyn,,,1.0,,,,,,,,,,,,F,journalist
Kimberly Halkett,,"Victoria, British Columbia, Canada",,,,,,,,,,,,,,,,,,F,journalist
